"","actual_tmpc","predicted_tmpc","accuracy","method"
"1",11.0625,11.4456581691256,0.38315816912562,"simple-kriging"
"2",2.1875,3.05806900697539,0.870569006975385,"simple-kriging"
"3",7.39583333333333,7.91875323892682,0.522919905593483,"simple-kriging"
"4",6.14583333333333,6.01155552784974,0.134277805483598,"simple-kriging"
"5",3.35416666666667,2.01737005118274,1.33679661548393,"simple-kriging"
"6",11.0625,12.3777892262724,1.31528922627239,"ordinary-kriging"
"7",2.1875,3.06333467019573,0.875834670195728,"ordinary-kriging"
"8",7.39583333333333,8.44342822478945,1.04759489145612,"ordinary-kriging"
"9",6.14583333333333,5.99455984429504,0.151273489038289,"ordinary-kriging"
"10",3.35416666666667,2.05583382066696,1.2983328459997,"ordinary-kriging"
"11",11.0625,13.8028952705325,2.74039527053253,"universal-kriging"
"12",2.1875,3.05092349942893,0.863423499428928,"universal-kriging"
"13",7.39583333333333,7.6362433965457,0.240410063212364,"universal-kriging"
"14",6.14583333333333,5.90007473076703,0.245758602566305,"universal-kriging"
"15",3.35416666666667,1.91588296377808,1.43828370288859,"universal-kriging"
"16",11.0625,8.57586431555488,2.48663568444512,"idw"
"17",2.1875,3.68590204431079,1.49840204431079,"idw"
"18",7.39583333333333,7.31641532890105,0.0794180044322879,"idw"
"19",6.14583333333333,6.80766044320716,0.661827109873827,"idw"
"20",3.35416666666667,3.00739341013473,0.346773256531939,"idw"
"21",11.0625,7.662099637979,3.400400362021,"linear-regression"
"22",2.1875,5.52993407876762,3.34243407876762,"linear-regression"
"23",7.39583333333333,5.66161941570931,1.73421391762402,"linear-regression"
"24",6.14583333333333,6.85341505632701,0.707581722993679,"linear-regression"
"25",3.35416666666667,4.22491077363681,0.870744106970141,"linear-regression"
"26",3.6875,2.63616599011303,1.05133400988697,"simple-kriging"
"27",3.35416666666667,2.08565574624206,1.2685109204246,"simple-kriging"
"28",12.875,9.07082789011396,3.80417210988604,"simple-kriging"
"29",5.3125,5.41292585695878,0.10042585695878,"simple-kriging"
"30",3.875,1.54854254375498,2.32645745624502,"simple-kriging"
"31",3.6875,2.64197605823309,1.04552394176691,"ordinary-kriging"
"32",3.35416666666667,2.13729373359956,1.21687293306711,"ordinary-kriging"
"33",12.875,10.5142818502596,2.36071814974036,"ordinary-kriging"
"34",5.3125,5.85467501794466,0.542175017944662,"ordinary-kriging"
"35",3.875,1.49223967555125,2.38276032444875,"ordinary-kriging"
"36",3.6875,2.61382483531263,1.07367516468737,"universal-kriging"
"37",3.35416666666667,1.97088140252695,1.38328526413971,"universal-kriging"
"38",12.875,12.2584653300614,0.616534669938556,"universal-kriging"
"39",5.3125,5.11457809778486,0.197921902215141,"universal-kriging"
"40",3.875,1.49069558151531,2.38430441848469,"universal-kriging"
"41",3.6875,3.03909671371685,0.64840328628315,"idw"
"42",3.35416666666667,3.06258030451827,0.291586362148393,"idw"
"43",12.875,8.52678222138955,4.34821777861045,"idw"
"44",5.3125,5.39864364487406,0.0861436448740607,"idw"
"45",3.875,2.31181983016736,1.56318016983264,"idw"
"46",3.6875,5.63159066915847,1.94409066915847,"linear-regression"
"47",3.35416666666667,3.98973508601338,0.635568419346716,"linear-regression"
"48",12.875,6.09889205673728,6.77610794326272,"linear-regression"
"49",5.3125,5.05476086507061,0.257739134929388,"linear-regression"
"50",3.875,3.51177818864598,0.363221811354016,"linear-regression"
"51",11.0425531914894,10.6246556718731,0.417897519616229,"simple-kriging"
"52",5.45833333333333,3.9986291881992,1.45970414513414,"simple-kriging"
"53",10.8541666666667,10.731450515639,0.122716151027667,"simple-kriging"
"54",0.958333333333333,2.38434057289214,1.42600723955881,"simple-kriging"
"55",3.60416666666667,3.0178668856952,0.586299780971469,"simple-kriging"
"56",11.0425531914894,11.7496019877281,0.707048796238709,"ordinary-kriging"
"57",5.45833333333333,3.99117844081389,1.46715489251944,"ordinary-kriging"
"58",10.8541666666667,12.2292261698231,1.37505950315644,"ordinary-kriging"
"59",0.958333333333333,2.36388160327122,1.40554826993788,"ordinary-kriging"
"60",3.60416666666667,3.25876900667728,0.345397659989389,"ordinary-kriging"
"61",11.0425531914894,13.3937248627433,2.35117167125398,"universal-kriging"
"62",5.45833333333333,3.89656831060389,1.56176502272944,"universal-kriging"
"63",10.8541666666667,14.7231201233831,3.8689534567164,"universal-kriging"
"64",0.958333333333333,2.34692443637421,1.38859110304088,"universal-kriging"
"65",3.60416666666667,2.85065345711658,0.753513209550086,"universal-kriging"
"66",11.0425531914894,7.4698460484472,3.57270714304216,"idw"
"67",5.45833333333333,5.24113079707285,0.217202536260483,"idw"
"68",10.8541666666667,8.07617568379469,2.77799098287197,"idw"
"69",0.958333333333333,2.61712909358261,1.65879576024927,"idw"
"70",3.60416666666667,3.68832363549736,0.0841569688306896,"idw"
"71",11.0425531914894,8.07245428960813,2.97009890188123,"linear-regression"
"72",5.45833333333333,7.80044708249812,2.34211374916479,"linear-regression"
"73",10.8541666666667,7.97535224794412,2.87881441872254,"linear-regression"
"74",0.958333333333333,3.82703073477168,2.86869740143835,"linear-regression"
"75",3.60416666666667,5.12895093244663,1.52478426577997,"linear-regression"
"76",8.47916666666667,6.67008667041057,1.80907999625609,"simple-kriging"
"77",7.39583333333333,8.64505990980513,1.2492265764718,"simple-kriging"
"78",4.89583333333333,3.47957301889601,1.41626031443732,"simple-kriging"
"79",2.5625,2.02603216776546,0.536467832234542,"simple-kriging"
"80",3.54166666666667,5.19645935950478,1.65479269283811,"simple-kriging"
"81",8.47916666666667,6.66226322463805,1.81690344202861,"ordinary-kriging"
